Completed Installations,Council District,Address,City and Zip,Hydration Station Operational Status,No. of Hydration Stations,No. of Water Fountains,No. of Restrooms,No. of Sinks,No. of Toilets,No. of Urinals,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Chatsworth Branch Library,12,21052 Devonshire Street,"Chatsworth, CA 91311",Operational No issues.,1,1,2,4,5,1,34.25708,-118.59254,1,rooftop,21052,W Devonshire St,,,Chatsworth,CA,Los Angeles County,91311,US,City of Los Angeles (CC0 1.0)
Chinatown Branch Library,1,639 N. Hill Street,"Angeles, CA 90012",Operational No issues.,1,1,2,4,5,2,34.059751,-118.241028,1,range_interpolation,639,N Hill St,,,Los Angeles,CA,Los Angeles County,90012,US,TIGER/Line® dataset from the US Census Bureau
Cypress Park Branch Library,1,1150 Cypress Avenue Los,"Los Angeles, CA 90065",Branch is currently closed.,1,1,2,4,3,1,34.09459,-118.22734,1,rooftop,1150,N Cypress Ave,,,Los Angeles,CA,Los Angeles County,90065,US,City of Los Angeles (CC0 1.0)
Donald Bruce Kaufman - Brentwood Branch Library,11,11820 San Vicente Blvd. Los,"Los Angeles, CA 90049",Operational No issues.,2,0,3,3,3,0,34.05281,-118.46862,1,rooftop,11820,W San Vicente Blvd,,,Los Angeles,CA,Los Angeles County,90049,US,City of Los Angeles (CC0 1.0)
Eagle Rock Branch Library,14,5027 Caspar Avenue Los,"Los Angeles, CA 90041",Operational No issues.,1,0,2,2,3,1,34.13766,-118.2133,1,rooftop,5027,N Caspar Ave,,,Los Angeles,CA,Los Angeles County,90041,US,City of Los Angeles (CC0 1.0)
Echo Park Branch Library,1,1410 W. Temple Street,"Los Angeles, CA 90026",Operational No issues.,1,2,2,2,3,1,34.06723,-118.25708,1,rooftop,1410,W Temple St,,,Los Angeles,CA,Los Angeles County,90026,US,City of Los Angeles (CC0 1.0)
Edendale Branch Library,13,2011 W. Sunset Boulevard,"Los Angeles, CA 90026",Operational No issues.,1,1,2,4,3,1,34.07798,-118.26226,1,rooftop,2011,W Sunset Blvd,,,Los Angeles,CA,Los Angeles County,90026,US,City of Los Angeles (CC0 1.0)
El Sereno Branch Library,14,5226 S. Huntington Drive Los,"Los Angeles, CA 90032",Operational No issues.,1,1,2,4,3,1,34.08939,-118.16829,1,rooftop,5226,E Huntington Dr S,,,Los Angeles,CA,Los Angeles County,90032,US,City of Los Angeles (CC0 1.0)
Encino - Tarzana Branch Library,3,18231 Ventura Boulevard,"Tarzana, CA 91356",Operational No issues.,1,1,2,4,3,1,34.16655,-118.53,1,rooftop,18231,W Ventura Blvd,,,Tarzana,CA,Los Angeles County,91356,US,City of Los Angeles (CC0 1.0)
Exposition Park - Dr. Mary McLeod Bethune Regional Branch Library,8,3900 S. Western Ave,"Angeles, CA 90062",Operational No issues.,1,2,2,2,3,1,34.01446,-118.30872,1,rooftop,3900,S Western Ave,,,Los Angeles,CA,Los Angeles County,90062,US,City of Los Angeles (CC0 1.0)
Fairfax Branch Library,4,161 S. Gardner Street Los,"Los Angeles, CA 90036",Operational No issues.,1,1,2,4,3,1,34.0717,-118.35333,1,rooftop,161,S Gardner St,,,Los Angeles,CA,Los Angeles County,90036,US,City of Los Angeles (CC0 1.0)
Felipe de Neve Branch Library,10,2820 W. 6th Street Los,"Los Angeles, CA 90057",Operational No issues.,1,1,2,2,2,0,34.0633,-118.28369,1,rooftop,2820,W 6th St,,,Los Angeles,CA,Los Angeles County,90057,US,City of Los Angeles (CC0 1.0)
Frances Howard Goldwyn - Hollywood Regional Branch Library,13,1623 Ivar Avenue,"Angeles, CA 90028",Operational No issues.,1,1,2,2,2,0,34.10044,-118.3283,1,rooftop,1623,N Ivar Ave,,,Los Angeles,CA,Los Angeles County,90028,US,City of Los Angeles (CC0 1.0)
Granada Hills Branch Library,12,10640 Petit Avenue,"Granada Hills, CA 91344",Operational No issues.,1,2,2,4,3,1,34.26437,-118.49777,1,rooftop,10640,N Petit Ave,,,Granada Hills,CA,Los Angeles County,91344,US,City of Los Angeles (CC0 1.0)
Harbor City - Harbor Gateway Branch Library,15,24000 S. Western,"Harbor City, CA 90710",Operational No issues.,2,0,2,3,3,1,33.80667,-118.30736,1,rooftop,24000,S Western Ave,,,Harbor City,CA,Los Angeles County,90710,US,City of Los Angeles (CC0 1.0)
